Pot,Treatment,Week,Sub_sample,Tube_weight,Tube_soil_weight,Soil_ww,Soil_dw,DF,Count1,Count2,Count3,CFU_mL,CFU_gdw,log_CFU_gdw
10,InocSoil_Incorp,7,1,0.97,1.42,0.45,0.18,0,39,27,30,3200,17777.77778,4
10,InocSoil_Incorp,7,2,0.96,1.62,0.66,0.264,0,23,21,19,2100,7954.545455,4
11,InocManure_SA,7,1,0.97,1.49,0.52,0.208,0,23,37,39,3300,15865.38462,4
11,InocManure_SA,7,2,0.97,1.43,0.46,0.184,0,35,30,41,3533.333333,19202.89855,4
12,InocManure_SA,7,1,1,1.53,0.53,0.212,0,2,0,0,66.66666667,314.4654088,2
12,InocManure_SA,7,2,0.96,1.53,0.57,0.228,0,1,1,0,66.66666667,292.3976608,2
13,InocManure_Incorp,7,1,0.96,1.47,0.51,0.204,0,1,3,2,200,980.3921569,3
13,InocManure_Incorp,7,2,0.96,1.49,0.53,0.212,0,1,1,0,66.66666667,314.4654088,2
14,InocManure_Incorp,7,1,0.96,1.44,0.48,0.192,0,5,6,4,500,2604.166667,3
14,InocManure_Incorp,7,2,0.96,1.5,0.54,0.216,0,5,3,5,433.3333333,2006.17284,3
15,Control,7,1,0.97,1.43,0.46,0.184,NA,NA,NA,NA,NA,NA,NA
15,Control,7,2,0.96,1.4,0.44,0.176,NA,NA,NA,NA,NA,NA,NA
16,Control,7,1,0.95,1.51,0.56,0.224,NA,NA,NA,NA,NA,NA,NA
16,Control,7,2,1.03,1.59,0.56,0.224,NA,NA,NA,NA,NA,NA,NA
17,Manure_SA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Manure_SA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Manure_SA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Manure_SA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Manure_incorp,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Manure_incorp,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Manure_incorp,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Manure_incorp,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,InocSoil_SA,7,1,0.94,1.57,0.63,0.252,0,0,0,0,0,0,NA
21,InocSoil_SA,7,2,0.96,1.55,0.59,0.236,0,0,0,0,0,0,NA
22,InocSoil_SA,7,1,0.98,1.61,0.63,0.252,0,0,0,0,0,0,NA
22,InocSoil_SA,7,2,0.98,1.51,0.53,0.212,0,0,0,0,0,0,NA
23,InocSoil_Incorp,7,1,0.97,1.57,0.6,0.24,0,1,1,1,100,416.6666667,3
23,InocSoil_Incorp,7,2,0.97,1.65,0.68,0.272,0,3,4,2,300,1102.941176,3
24,InocSoil_Incorp,7,1,0.96,1.5,0.54,0.216,0,3,0,1,133.3333333,617.2839506,3
24,InocSoil_Incorp,7,2,0.99,1.49,0.5,0.2,0,1,1,1,100,500,3
25,InocManure_SA,7,1,1,1.55,0.55,0.22,0,2,1,1,133.3333333,606.0606061,3
25,InocManure_SA,7,2,1,1.49,0.49,0.196,0,8,8,6,733.3333333,3741.496599,4
26,InocManure_SA,7,1,0.95,1.67,0.72,0.288,0,1,1,1,100,347.2222222,3
26,InocManure_SA,7,2,1,1.74,0.74,0.296,0,0,0,0,0,0,NA
27,InocManure_Incorp,7,1,0.99,1.56,0.57,0.228,0,14,21,18,1766.666667,7748.538012,4
27,InocManure_Incorp,7,2,0.98,1.37,0.39,0.156,0,17,17,20,1800,11538.46154,4
28,InocManure_Incorp,7,1,0.99,1.45,0.46,0.184,0,1,1,0,66.66666667,362.3188406,3
28,InocManure_Incorp,7,2,0.96,1.46,0.5,0.2,0,1,0,0,33.33333333,166.6666667,2
