Week,Pot,Date of Plating,Date of CR morphotype ID,Subsample,Sample ID,Isolate,CRScore
0,17,6/18/2015,6/25/2015,2,C17.0.2,8,5
0,18,6/18/2015,6/25/2015,1,C18.0.1,1,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,2,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,3,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,4,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,5,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,6,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,7,3
0,18,6/18/2015,6/25/2015,1,C18.0.1,8,3
0,18,6/18/2015,6/25/2015,2,C18.0.2,1,NA
0,18,6/18/2015,6/25/2015,2,C18.0.2,2,5
0,18,6/18/2015,6/25/2015,2,C18.0.2,3,3
0,18,6/18/2015,6/25/2015,2,C18.0.2,4,3
0,18,6/18/2015,6/25/2015,2,C18.0.2,5,5
0,18,6/18/2015,6/25/2015,2,C18.0.2,6,3
0,18,6/18/2015,6/25/2015,2,C18.0.2,7,3
0,18,6/18/2015,6/25/2015,2,C18.0.2,8,3
0,19,6/18/2015,6/25/2015,1,C19.0.1,1,3
0,19,6/18/2015,6/25/2015,1,C19.0.1,2,5
0,19,6/18/2015,6/25/2015,1,C19.0.1,3,3
0,19,6/18/2015,6/25/2015,1,C19.0.1,4,4
0,19,6/18/2015,6/25/2015,1,C19.0.1,5,5
0,19,6/18/2015,6/25/2015,1,C19.0.1,6,4
0,19,6/18/2015,6/25/2015,1,C19.0.1,7,5
0,19,6/18/2015,6/25/2015,1,C19.0.1,8,5
0,19,6/18/2015,6/25/2015,2,C19.0.2,1,3
0,19,6/18/2015,6/25/2015,2,C19.0.2,2,4
0,19,6/18/2015,6/25/2015,2,C19.0.2,3,3
0,19,6/18/2015,6/25/2015,2,C19.0.2,4,3
0,19,6/18/2015,6/25/2015,2,C19.0.2,5,3
0,19,6/18/2015,6/25/2015,2,C19.0.2,6,3
0,19,6/18/2015,6/25/2015,2,C19.0.2,7,4
0,19,6/18/2015,6/25/2015,2,C19.0.2,8,3
0,20,6/18/2015,6/25/2015,1,C20.0.1,1,4
0,20,6/18/2015,6/25/2015,1,C20.0.1,2,3
0,20,6/18/2015,6/25/2015,1,C20.0.1,3,5
0,20,6/18/2015,6/25/2015,1,C20.0.1,4,5
0,20,6/18/2015,6/25/2015,1,C20.0.1,5,4
0,20,6/18/2015,6/25/2015,1,C20.0.1,6,3
0,20,6/18/2015,6/25/2015,1,C20.0.1,7,3
0,20,6/18/2015,6/25/2015,1,C20.0.1,8,5
0,20,6/18/2015,6/25/2015,2,C20.0.2,1,3
0,20,6/18/2015,6/25/2015,2,C20.0.2,2,5
0,20,6/18/2015,6/25/2015,2,C20.0.2,3,4
0,20,6/18/2015,6/25/2015,2,C20.0.2,4,4
0,20,6/18/2015,6/25/2015,2,C20.0.2,5,4
0,20,6/18/2015,6/25/2015,2,C20.0.2,6,4
0,20,6/18/2015,6/25/2015,2,C20.0.2,7,4
0,20,6/18/2015,6/25/2015,2,C20.0.2,8,4
1,1,6/25/2015,7/1/2015,1,C1.1.1,1,NA
1,1,6/25/2015,7/1/2015,1,C1.1.1,2,NA
1,1,6/25/2015,7/1/2015,1,C1.1.1,3,NA
1,1,6/25/2015,7/1/2015,1,C1.1.1,4,NA
1,1,6/25/2015,7/1/2015,1,C1.1.1,5,NA
1,1,6/25/2015,7/1/2015,1,C1.1.1,6,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,1,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,2,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,3,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,4,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,5,NA
1,1,6/25/2015,7/1/2015,2,C1.1.2,6,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,1,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,2,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,3,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,4,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,5,NA
1,2,6/25/2015,7/1/2015,1,C2.1.1,6,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,1,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,2,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,3,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,4,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,5,NA
1,2,6/25/2015,7/1/2015,2,C2.1.2,6,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,1,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,2,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,3,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,4,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,5,NA
1,3,6/25/2015,7/1/2015,1,C3.1.1,6,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,1,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,2,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,3,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,4,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,5,NA
1,3,6/25/2015,7/1/2015,2,C3.1.2,6,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,1,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,2,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,3,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,4,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,5,NA
1,4,6/25/2015,7/1/2015,1,C4.1.1,6,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,1,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,2,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,3,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,4,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,5,NA
1,4,6/25/2015,7/1/2015,2,C4.1.2,6,NA
1,5,6/25/2015,7/1/2015,1,C5.1.1,1,4
1,5,6/25/2015,7/1/2015,1,C5.1.1,2,4
1,5,6/25/2015,7/1/2015,1,C5.1.1,3,4
1,5,6/25/2015,7/1/2015,1,C5.1.1,4,4
1,5,6/25/2015,7/1/2015,1,C5.1.1,5,4
1,5,6/25/2015,7/1/2015,1,C5.1.1,6,4
1,5,6/25/2015,7/1/2015,2,C5.1.2,1,5
1,5,6/25/2015,7/1/2015,2,C5.1.2,2,5
1,5,6/25/2015,7/1/2015,2,C5.1.2,3,5
1,5,6/25/2015,7/1/2015,2,C5.1.2,4,5
1,5,6/25/2015,7/1/2015,2,C5.1.2,5,5
1,6,6/25/2015,7/1/2015,2,C5.1.2,6,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,1,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,2,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,3,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,4,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,5,5
1,6,6/25/2015,7/1/2015,1,C6.1.1,6,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,1,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,2,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,3,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,4,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,5,5
1,6,6/25/2015,7/1/2015,2,C6.1.2,6,5
1,15,6/25/2015,7/1/2015,1,C15.1.1,1,NA
1,15,6/25/2015,7/1/2015,1,C15.1.1,2,NA
1,15,6/25/2015,7/1/2015,1,C15.1.1,3,NA
1,15,6/25/2015,7/1/2015,1,C15.1.1,4,NA
1,15,6/25/2015,7/1/2015,1,C15.1.1,5,NA
1,15,6/25/2015,7/1/2015,1,C15.1.1,6,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,1,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,2,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,3,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,4,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,5,NA
1,15,6/25/2015,7/1/2015,2,C15.1.2,6,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,1,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,2,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,3,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,4,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,5,NA
1,16,6/25/2015,7/1/2015,1,C16.1.1,6,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,1,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,2,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,3,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,4,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,5,NA
1,16,6/25/2015,7/1/2015,2,C16.1.2,6,NA
1,17,6/25/2015,7/1/2015,1,C17.1.1,1,NA
